"","species_name"
"152","Ruellia detonsa Benoist"
"153","Pseudoruellia perrieri (Benoist) Benoist"
"154","Ruellia latisepala Benoist"
"155","Ruellia nocturna M.Hedrén"
"156","Ruellia discifolia Oliv."
"157","Ruellia megachlamys S.Moore"
"158","Ruellia insignis Balf.fil."
"159","Ruellia kerrii Craib"
"160","Benoicanthus tachiadenus Heine & A.Raynal"
"161","Ruellia diversifolia S.Moore"
"162","Ruellia prostrata Poir."
"163","Ruellia togoensis (Lindau) Heine"
"164","Ruellia cordata Brandegee"
"165","Ruellia linearibracteolata Lindau"
"166","Ruellia patula Oliv."
"167","Ruellia primulacea F.Muell. ex Benth."
"168","Ruellia L."
"169","Ruellia cernua Roxb."
"170","Ruellia boranica Ensermu"
"171","Ruellia brandbergensis Kers"
"172","Ruellia malacophylla C.B.Clarke"
