"","species_name"
"135","Pimenta berciliae T.N.C.Vasconc. & Peguero"
"136","Pimenta yumana (Alain) T.N.C.Vasconc."
"137","Pimenta racemosa var. ozua (Urb. & Ekman) Landrum"
"138","Pimenta haitiensis (Urb.) Landrum"
"139","Pimenta paganii (Krug & Urb.) Flickinger"
"140","Pimenta racemosa var. grisea (Kiaersk.) Fosberg"
"141","Pimenta racemosa var. racemosa"
"142","Pimenta racemosa (Mill.) J.W.Moore"
"143","Pimenta dioica (L.) Merr."
"144","Pimenta filipes (Urb.) Burret"
"145","Pimenta podocarpoides (Areces) Landrum"
"146","Pimenta pseudocaryophyllus (Gomes) Landrum"
"147","Amomyrtus luma (Molina) D.Legrand & Kausel"
"148","Amomyrtus meli (Phil.) D.Legrand & Kausel"
"149","Legrandia concinna (Phil.) Kausel"
"150","Lenwebbia lasioclada (F.Muell.) N.Snow & Guymer"
"151","Lenwebbia prominens N.Snow & Guymer"
"152","Lophomyrtus bullata (Sol. ex A.Cunn.) Burret"
"153","Lophomyrtus obcordata (Raoul) Burret"
"154","Lenwebbia prominens N.Snow & Guymer"
"155","Myrteola nummularia (Poir.) O.Berg"
"156","Ugni candollei (Barnéoud) O.Berg"
"157","Ugni molinae Turcz."
"158","Ugni myricoides (Kunth) O.Berg"
"159","Ugni selkirkii (Hook. & Arn.) O.Berg"
"160","Eugenia abunan M.A.D.Souza & Sobral"
"161","Eugenia moschata (Aubl.) Nied. ex T.Durand & B.D.Jacks."
"162","Eugenia fasciculiflora O.Berg"
"163","Eugenia pisonis O.Berg"
"164","Eugenia L."
"165","Eugenia joseramosii M.A.D.Souza & Scud."
"166","Eugenia kerianthera M.A.D.Souza"
"167","Eugenia spruceana O.Berg"
"168","Eugenia L."
"169","Eugenia aurata O.Berg"
"170","Eugenia flavescens DC."
"171","Eugenia sparsa S.Moore"
"172","Eugenia leptoclada O.Berg"
"173","Eugenia neoverrucosa Sobral"
"174","Eugenia sphenophylla O.Berg"
"175","Eugenia talbotii Keay"
"176","Eugenia anastomosans DC."
"177","Eugenia egensis DC."
"178","Eugenia protenta McVaugh"
"179","Eugenia L."
"180","Eugenia aubletiana Mattos"
"181","Eugenia densiracemosa Mazine & Faria"
"182","Eugenia latifolia Aubl."
"183","Eugenia neograndifolia Mattos"
"184","Eugenia platysema O.Berg"
"185","Eugenia percincta McVaugh"
"186","Eugenia astringens Cambess."
"187","Eugenia unana Sobral"
"188","Eugenia bimarginata DC."
"189","Eugenia hiemalis Cambess."
"190","Eugenia pluriflora DC."
"191","Eugenia pluriflora DC."
"192","Eugenia subglomerata (Kuntze) Sobral"
"193","Eugenia bacopari D.Legrand"
"194","Eugenia coronata Vahl ex DC."
"195","Eugenia cycloidea Urb."
"196","Eugenia greggii (Sw.) Poir."
"197","Eugenia lambertiana DC."
"198","Eugenia stictopetala Mart. ex DC."
"199","Eugenia axillaris (Sw.) Willd."
"200","Eugenia pacifica Benth."
"201","Eugenia cocosensis Barrie"
"202","Eugenia hypargyrea Standl."
"203","Eugenia crenulata (Sw.) Willd."
"204","Eugenia laevis O.Berg"
"205","Eugenia foetida Pers."
"206","Eugenia monticola (Sw.) DC."
"207","Eugenia monticola (Sw.) DC."
"208","Eugenia bissei Flickinger"
"209","Eugenia maestrensis Urb."
"210","Eugenia laeteviridis Urb."
"211","Eugenia catingiflora Griseb."
"212","Eugenia cati Britton & P.Wilson"
"213","Eugenia mensurensis Urb."
"214","Eugenia naguana Urb."
"215","Eugenia piedraensis Urb."
"216","Eugenia neibensis Mattos"
"217","Eugenia torbeciana (Urb. & Ekman) Flickinger"
"218","Eugenia cryptocardia Flickinger"
"219","Eugenia ekmanii (Urb.) Mattos"
"220","Eugenia cucullata Amshoff"
"221","Eugenia rhombea (O.Berg) Krug & Urb. ex Urb."
"222","Eugenia websteri Proctor"
"223","Eugenia retinadenia C.Wright"
"224","Eugenia victorinii Alain"
"225","Eugenia borinquensis Britton"
"226","Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb."
"227","Eugenia cordata (Sw.) DC."
"228","Eugenia cordata var. cordata"
"229","Eugenia padronii Alain"
"230","Eugenia sintenisii Krug & Urb."
"231","Eugenia stewardsonii Britton"
"232","Eugenia haematocarpa Alain"
"233","Eugenia sessiliflora Vahl"
"234","Eugenia sessiliflora Vahl"
"235","Eugenia stirpiflora (O.Berg) Krug & Urb."
"236","Eugenia dictyophylla Urb."
"237","Eugenia pubicalyx Alain"
"238","Eugenia fajardensis (Krug & Urb.) Urb."
"239","Eugenia woodburyana Alain"
"240","Eugenia walkerae Flickinger"
"241","Eugenia axillaris (Sw.) Willd."
"242","Eugenia foetida Pers."
"243","Eugenia hiraeifolia Standl."
"244","Eugenia laevis O.Berg"
"245","Eugenia neibensis Mattos"
"246","Eugenia rhombea (O.Berg) Krug & Urb. ex Urb."
"247","Eugenia burretii Flickinger"
"248","Eugenia cryptocardia Flickinger"
"249","Eugenia borinquensis Britton"
"250","Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb."
"251","Eugenia dictyophylla Urb."
"252","Eugenia bahiensis DC."
"253","Eugenia rara Rigueira & Sobral"
"254","Eugenia batingabranca Sobral"
"255","Eugenia verticillata (Vell.) Angely"
"256","Eugenia nutans O.Berg"
"257","Eugenia subavenia O.Berg"
"258","Eugenia prasina O.Berg"
"259","Eugenia crassa Sobral"
"260","Eugenia goiapabana Sobral & Mazine"
"261","Eugenia umbrosa O.Berg"
"262","Eugenia goiapabana Sobral & Mazine"
"263","Eugenia grandissima Sobral, Mazine & E.A.D.Melo"
"264","Eugenia umbrosa O.Berg"
"265","Eugenia ellipsoidea Kiaersk."
"266","Eugenia vetula DC."
"267","Eugenia schottiana O.Berg"
"268","Eugenia hirta O.Berg"
"269","Eugenia martinellii (G.M.Barroso & M.Peron) Stadnik, D.K.D.Caldas & M.C.Souza"
"270","Eugenia petaloidea Giaretta & B.S.Amorim"
"271","Eugenia fissurata Mattos"
"272","Eugenia sebastianopolitana (G.M.Barroso) Stadnik, D.K.D.Caldas & M.C.Souza"
"273","Eugenia prasina O.Berg"
"274","Eugenia cerasiflora Miq."
"275","Eugenia cerasiflora Miq."
"276","Eugenia rotula Sobral"
"277","Eugenia lagoensis Kiaersk."
"278","Eugenia punicifolia (Kunth) DC."
"279","Eugenia pseudopsidium Jacq."
"280","Eugenia L."
"281","Eugenia melanogyna (D.Legrand) Sobral"
"282","Eugenia inversa Sobral"
"283","Eugenia plicatocostata O.Berg"
"284","Eugenia bojeri Baker"
"285","Eugenia mespiloides Lam."
"286","Eugenia buxifolia Lam."
"287","Eugenia pollicina J.Guého & A.J.Scott"
"288","Eugenia orbiculata Lam."
"289","Eugenia neofasciculata Bennet"
"290","Eugenia pollicina J.Guého & A.J.Scott"
"291","Eugenia orbiculata Lam."
"292","Eugenia vaughanii J.Guého & A.J.Scott"
"293","Eugenia crassipetala J.Guého & A.J.Scott"
"294","Eugenia lucida Lam."
"295","Eugenia pyxidata (J.Guého & A.J.Scott) N.Snow"
"296","Eugenia tinifolia Lam."
"297","Eugenia kanakana N.Snow"
"298","Eugenia calcadensis Bedd."
"299","Eugenia L."
"300","Eugenia singampattiana Bedd."
"301","Eugenia wynadensis Bedd."
"302","Eugenia reinwardtiana (Blume) DC."
"303","Eugenia capensis (Eckl. & Zeyh.) Harv."
"304","Eugenia natalitia Sond."
"305","Eugenia L."
"306","Eugenia woodii Merr."
"307","Eugenia erythrophylla Strey"
"308","Eugenia woodii Merr."
"309","Eugenia zuluensis Dümmer"
"310","Eugenia erythrophylla Strey"
"311","Eugenia L."
"312","Eugenia L."
"313","Eugenia verdoorniae A.E.van Wyk"
"314","Eugenia umtamvunensis A.E.van Wyk"
"315","Eugenia zeyheri (Harv.) Harv."
"316","Eugenia roseopetiolata N.Snow & Cable"
"317","Eugenia brongniartiana Guillaumin"
"318","Eugenia bullata Pancher ex Guillaumin"
"319","Eugenia paludosa Pancher ex Brongn. & Gris"
"320","Eugenia tropophylla H.Perrier"
"321","Eugenia umbellulifera Krug & Urb. ex Urb."
"322","Eugenia ligustroides Urb."
"323","Eugenia excisa Urb."
"324","Eugenia pachyadenia (Urb. & Ekman) Flickinger"
"325","Eugenia lineolata Urb. & Ekman"
"326","Eugenia lucens Alain"
"327","Eugenia coffeifolia DC."
"328","Eugenia lindahlii Urb. & Ekman"
"329","Eugenia confusa DC."
"330","Eugenia excelsa O.Berg"
"331","Eugenia platyphylla O.Berg"
"332","Eugenia pistaciifolia DC."
"333","Eugenia bunchosiifolia Nied."
"334","Eugenia speciosa Cambess."
"335","Eugenia stigmatosa DC."
"336","Eugenia L."
"337","Eugenia longipetiolata Mattos"
"338","Eugenia wentii Amshoff"
"339","Eugenia luschnathiana (O.Berg) Klotzsch ex B.D.Jacks."
"340","Eugenia angustissima O.Berg"
"341","Eugenia angustissima O.Berg"
"342","Eugenia cristaensis O.Berg"
"343","Eugenia modesta DC."
"344","Eugenia repanda O.Berg"
"345","Eugenia capparidifolia DC."
"346","Eugenia costatifructa Mazine"
"347","Eugenia biflora (L.) DC."
"348","Eugenia eggersii Kiaersk."
"349","Eugenia linearis Duthie"
"350","Eugenia lineata (Sw.) DC."
"351","Eugenia picardae Krug & Urb. ex Urb"
"352","Eugenia stenoxipha Urb."
"353","Eugenia rigidifolia A.Rich."
"354","Eugenia varia Britton & P.Wilson"
"355","Eugenia lomensis Britton & P.Wilson"
"356","Eugenia tuberculata (Kunth) DC."
"357","Eugenia biflora (L.) DC."
"358","Eugenia intermedia O.Berg"
"359","Eugenia domingensis O.Berg"
"360","Eugenia eggersii Kiaersk."
"361","Eugenia patens Poir."
"362","Eugenia domingensis O.Berg"
"363","Eugenia florida DC."
"364","Eugenia paracatuana O.Berg"
"365","Eugenia chiquitensis O.Berg"
"366","Eugenia longiracemosa Kiaersk."
"367","Eugenia binata Mazine & Sobral"
"368","Eugenia disperma Vell."
"369","Eugenia macrosperma DC."
"370","Eugenia sprengelii DC."
"371","Eugenia repanda O.Berg"
"372","Eugenia florida DC."
"373","Eugenia caloneura Sobral & Rigueira"
"374","Eugenia acutata Miq."
"375","Eugenia tenuipedunculata Kiaersk."
"376","Eugenia tenuipedunculata Kiaersk."
"377","Eugenia vattimoana Mattos"
"378","Eugenia subterminalis DC."
"379","Eugenia neoriedeliana M.C.Souza & Giaretta"
"380","Eugenia zuccarinii O.Berg"
"381","Eugenia guanabarina (Mattos & D.Legrand) Giaretta & M.C.Souza"
"382","Eugenia longohypanthiata Giaretta"
"383","Eugenia aggregata Baker"
"384","Eugenia involucrata DC."
"385","Eugenia macrobracteolata Mattos"
"386","Eugenia involucrata DC."
"387","Eugenia magnisepala Bünger & Mazine"
"388","Eugenia luschnathiana (O.Berg) Klotzsch ex B.D.Jacks."
