"","species_name"
"139","Paepalanthus erectifolius Silveira"
"140","Paepalanthus cordatus Ruhland"
"141","Paepalanthus urbanianus Ruhland"
"142","Paepalanthus polycladus Silveira"
"143","Actinocephalus polyanthus (Bong.) Sano"
"144","Actinocephalus ciliatus (Bong.) Sano"
"145","Actinocephalus falcifolius (Körn.) Sano"
"146","Actinocephalus stereophyllus (Ruhland) Sano"
"147","Actinocephalus glareosus (Bong.) F.N.Costa"
"148","Paepalanthus macrocephalus (Bong.) Körn."
"149","Actinocephalus geniculatus (Bong.) F.N.Costa"
"150","Actinocephalus ramosus (Wikstr.) Sano"
"151","Actinocephalus bongardii (A.St.-Hil.) Sano"
"152","Actinocephalus divaricatus (Bong.) Sano"
"153","Paepalanthus camptophyllus Ruhland"
"154","Actinocephalus brachypus (Bong.) Sano"
"155","Actinocephalus deflexus F.N.Costa"
"156","Paepalanthus lundii Körn."
"157","Paepalanthus scholiophyllus Ruhland"
"158","Paepalanthus guaraiensis Moldenke"
"159","Paepalanthus sphaerocephalus Ruhland"
"160","Paepalanthus exiguus (Bong.) Körn."
"161","Paepalanthus leucocephalus Ruhland"
"162","Paepalanthus scleranthus Ruhland"
"163","Paepalanthus echinoides Trovó"
"164","Paepalanthus repens (Lam.) Körn."
"165","Paepalanthus dendroides (Kunth) Kunth"
"166","Paepalanthus pilosus (Kunth) Kunth"
"167","Paepalanthus caldensis Malme"
"168","Paepalanthus catharinae Ruhland"
"169","Paepalanthus lodiculoides Moldenke"
"170","Paepalanthus distichophyllus Mart."
"171","Paepalanthus scandens Ruhland"
"172","Paepalanthus stannardii Giul. & L.R.Parra"
"173","Paepalanthus tortilis (Bong.) Mart. ex Körn."
"174","Paepalanthus obtusifolius (Steud.) Körn."
"175","Paepalanthus lamarckii Kunth"
"176","Lachnocaulon anceps (Walter) Morong"
"177","Lachnocaulon beyrichianum Sporl. ex Körn."
"178","Tonina fluviatilis Aubl."
"179","Paepalanthus nipensis Gonz.Géigel"
"180","Paepalanthus pungens Griseb."
