"","species_name"
"173","Salvia karwinskii Benth."
"174","Salvia discolor Kunth"
"175","Salvia leucocephala Kunth"
"176","Salvia galloana B.L.Turner"
"177","Salvia lophanthoides Fernald"
"178","Salvia rubiginosa Benth."
"179","Salvia compsostachys Epling"
"180","Salvia verecunda Epling"
"181","Salvia langlassei Fernald"
"182","Salvia sanctae-luciae Seem."
"183","Salvia bupleuroides C.Presl ex Benth."
"184","Salvia lasiocephala Hook. & Arn."
"185","Salvia mexiae Epling"
"186","Salvia nitida (M.Martens & Galeotti) Benth."
"187","Salvia adenophora Fernald"
"188","Salvia disjuncta Fernald"
"189","Salvia madrensis Seem."
"190","Salvia bangii Rusby"
"191","Salvia gilliesii Benth."
"192","Salvia heerii Regel"
"193","Salvia retinervia Briq."
"194","Salvia calolophos Epling"
"195","Salvia ballotiflora Benth."
"196","Salvia pinguifolia (Fernald) Wooton & Standl."
"197","Salvia divinorum Epling & Játiva"
"198","Salvia venulosa Epling"
"199","Salvia betulifolia Epling"
"200","Salvia regla Cav."
"201","Salvia pubescens Benth."
"202","Salvia sessei Benth."
"203","Salvia cuspidata Ruiz & Pav."
"204","Salvia flocculosa Epling & Mathias"
"205","Salvia concolor Lamb. ex Benth."
"206","Salvia flaccidifolia Fernald"
"207","Salvia recurva Benth."
"208","Salvia hidalgensis Miranda"
"209","Salvia candicans M.Martens & Galeotti"
"210","Salvia oaxacana Fernald"
"211","Salvia purpusii Brandegee"
"212","Salvia lycioides A.Gray"
"213","Salvia villosa Fernald"
"214","Salvia greggii A.Gray"
"215","Salvia coahuilensis Fernald"
"216","Salvia muelleri Epling"
"217","Salvia microphylla Kunth"
"218","Salvia neurepia Fernald"
"219","Salvia cardinalis Kunth"
"220","Salvia gesneriiflora Lindl. & Paxton"
"221","Salvia fulgens Cav."
"222","Salvia lineata Benth."
"223","Salvia stolonifera Benth."
"224","Salvia purpurea Sessé & Moc."
"225","Salvia podadena Briq."
"226","Salvia tehuacana Fernald"
"227","Salvia acerifolia B.L.Turner"
